DATE,ATNHPIUS41884Q
1976-01-01,22.0050000000000000
1977-01-01,26.9375000000000000
1978-01-01,30.3625000000000000
1979-01-01,36.8000000000000000
1980-01-01,44.3575000000000000
1981-01-01,45.9175000000000000
1982-01-01,42.9725000000000000
1983-01-01,49.2350000000000000
1984-01-01,51.5350000000000000
1985-01-01,55.8625000000000000
1986-01-01,62.1525000000000000
1987-01-01,72.7550000000000000
1988-01-01,89.7325000000000000
1989-01-01,108.6350000000000000
1990-01-01,112.3050000000000000
1991-01-01,106.9700000000000000
1992-01-01,105.0900000000000000
1993-01-01,102.0500000000000000
1994-01-01,100.1200000000000000
1995-01-01,100.4850000000000000
1996-01-01,101.8150000000000000
1997-01-01,109.8500000000000000
1998-01-01,123.2050000000000000
1999-01-01,140.0050000000000000
2000-01-01,172.8400000000000000
2001-01-01,193.2525000000000000
2002-01-01,201.8975000000000000
2003-01-01,212.4975000000000000
2004-01-01,240.2125000000000000
2005-01-01,286.3350000000000000
2006-01-01,307.7975000000000000
2007-01-01,304.7525000000000000
2008-01-01,277.6425000000000000
2009-01-01,253.6500000000000000
2010-01-01,249.0700000000000000
2011-01-01,240.7725000000000000
2012-01-01,247.3225000000000000
2013-01-01,281.2625000000000000
2014-01-01,318.1200000000000000
2015-01-01,356.7100000000000000
2016-01-01,388.7150000000000000
2017-01-01,406.5950000000000000
2018-01-01,443.1425000000000000
2019-01-01,441.2050000000000000
2020-01-01,428.9300000000000000
2021-01-01,434.0450000000000000
2022-01-01,488.3225000000000000
2023-01-01,484.5325000000000000
