DATE,SFXRCSA
1995-01-01,59.0214403571334163
1996-01-01,59.1735130496800833
1997-01-01,66.1227716739355842
1998-01-01,77.3204734208082517
1999-01-01,90.0801060310420842
2000-01-01,117.5327376055137483
2001-01-01,128.8825256649450017
2002-01-01,131.6366407859827492
2003-01-01,139.0447913072667492
2004-01-01,159.6447493636600833
2005-01-01,192.9923057495611708
2006-01-01,197.6747536967748367
2007-01-01,195.5288261898206650
2008-01-01,176.2018386925217492
2009-01-01,143.5634254937098367
2010-01-01,143.3400481495026667
2011-01-01,133.8906755277051650
2012-01-01,142.0981942365894158
2013-01-01,180.4583823880928367
2014-01-01,205.3483188142141708
2015-01-01,229.8448405432842483
2016-01-01,243.4110884494476600
2017-01-01,253.8838376246605008
2018-01-01,276.0045876097171658
2019-01-01,276.8695101092216675
2020-01-01,277.1501704537456642
2021-01-01,287.6275971681932500
2022-01-01,300.1899997699515092
2023-01-01,285.8361784308935825
