observation_date,USSTHPI_PC1,CASTHPI_PC1,NYSTHPI_PC1,ATNHPIUS41884Q_PC1,ATNHPIUS35614Q_PC1,FLSTHPI_PC1,ATNHPIUS33124Q_PC1
1977-01-01,14.73778,27.15827,14.63909,20.61551,4.57120,6.26955,10.42654
1978-01-01,13.27204,15.71429,-1.08478,10.17127,11.02515,13.11037,9.41822
1979-01-01,12.27709,17.82178,17.15342,27.60152,18.88502,15.77765,23.64350
1980-01-01,6.47526,12.42868,13.29874,13.87369,8.93904,10.96128,13.85266
1981-01-01,2.80168,8.51712,2.70319,0.50218,10.03497,-3.62732,-1.78019
1982-01-01,3.86941,-1.49660,10.58937,-0.28242,6.35697,7.61368,9.01497
1983-01-01,5.34611,1.62293,16.40705,7.71242,14.62069,10.50155,-0.04337
1984-01-01,4.67528,4.27285,14.89607,6.51294,18.91296,1.51832,-0.96905
1985-01-01,5.70083,6.34623,17.31008,10.42537,19.96964,2.66677,-2.65810
1986-01-01,7.30639,8.07415,19.54342,13.03525,25.16519,4.62463,6.64666
1987-01-01,5.44856,11.43323,14.21525,18.75856,17.48849,2.98365,4.83962
1988-01-01,5.62194,19.23542,4.69863,26.19780,3.59465,4.83583,6.21310
1989-01-01,5.61198,19.84529,1.04350,15.33854,-0.13843,3.88946,2.94378
1990-01-01,1.21127,1.73603,-2.74580,-3.51171,-6.28408,0.38095,2.44232
1991-01-01,3.12124,0.07876,1.01883,-2.28952,-1.01568,3.02951,4.21708
1992-01-01,2.40858,-2.66690,2.29412,-2.76326,1.46444,2.01321,2.40258
1993-01-01,2.65945,-3.79554,0.54852,-2.45776,0.85420,3.03804,8.72250
1994-01-01,1.54768,-6.16304,-4.81304,-2.67717,-3.19315,-0.67065,2.13733
1995-01-01,4.55588,1.28869,2.59712,2.09345,3.48954,4.45255,6.33846
1996-01-01,2.52874,-0.95790,0.24748,2.60525,1.05918,1.32192,1.71119
1997-01-01,4.38239,5.29213,3.12467,10.50396,3.84615,4.19564,2.82269
1998-01-01,5.06737,9.23265,5.20844,11.79451,5.63889,4.65001,5.19953
1999-01-01,4.91590,7.83561,7.49252,17.50547,10.32518,3.80561,2.25525
2000-01-01,7.07706,14.17660,9.16568,22.47938,11.40065,8.19539,8.11222
2001-01-01,7.11804,10.82974,9.29363,4.75673,10.52632,10.51248,13.17024
2002-01-01,6.70682,13.37421,11.24065,7.25689,12.40160,10.51894,14.46923
2003-01-01,6.97641,14.64530,11.31921,5.87667,11.46958,12.09222,15.02353
2004-01-01,10.33690,25.49296,12.97024,16.98010,15.43413,19.90950,20.62002
2005-01-01,11.24157,21.18030,12.04457,17.70329,15.12380,27.49857,28.07567
2006-01-01,4.52779,2.76117,3.31161,1.81999,4.52238,7.65488,14.47150
2007-01-01,-1.13630,-10.45851,-0.99858,-2.65351,-1.23091,-7.78331,-1.66108
2008-01-01,-7.15752,-22.74852,-4.84720,-10.70604,-6.78303,-22.09775,-28.89331
2009-01-01,-5.18742,-7.21114,-4.19858,-6.24017,-5.89941,-11.39395,-15.02927
2010-01-01,-1.84495,-1.58776,0.09192,-0.82694,-0.57343,-5.24508,-3.02032
2011-01-01,-3.33333,-5.02241,-2.60600,-3.12991,-2.96118,-5.86346,-4.80799
2012-01-01,0.59706,3.51928,-1.13861,6.86544,-1.01570,1.01244,4.71555
2013-01-01,4.30381,15.76310,0.67304,15.33134,1.33082,10.12819,12.43028
2014-01-01,5.10300,8.25398,3.11031,11.28581,4.12576,8.36246,11.22135
2015-01-01,5.03474,7.41074,2.76511,13.47623,3.88585,9.42426,9.39952
2016-01-01,5.44943,6.62957,4.42829,5.94192,4.73796,9.09647,8.62967
2017-01-01,5.41353,6.69739,4.79460,4.88740,4.78514,8.22330,6.81818
2018-01-01,4.89002,4.94536,3.99871,7.12654,2.86065,6.55267,6.65626
2019-01-01,5.04740,3.42006,5.06188,-0.64415,4.12095,5.90654,4.76147
2020-01-01,6.25647,5.42769,5.70824,-4.03678,4.21869,7.41181,6.51623
2021-01-01,18.04126,19.21482,13.87903,6.24044,11.28279,24.79548,21.47719
2022-01-01,11.18926,6.93522,10.21858,7.91456,7.69784,18.51264,21.34788
2023-01-01,5.81106,3.92065,7.79103,1.60972,6.74667,5.48417,10.95555
2024-01-01,5.36992,4.55728,7.69254,3.49782,7.86447,3.56111,8.68889
